dataset_id,dataset_text,verdict,live_externalId,live_label,score
DEP-0001,Design navigation structure based on the IA depends on upstream delive,NEW,,,0.057
DEP-0002,Complete footer navigation structure based on the IA depends on upstre,NEW,,,0.049
DEP-0003,Design Landing Page Template depends on upstream delivery Design Landi,NEW,,,0.062
DEP-0004,Design Landing Page Template requires external input or approval The s,NEW,,,0.057
DEP-0005,Design Section Page Template depends on upstream delivery Design Secti,NEW,,,0.062
DEP-0006,Design Section Page Template requires external input or approval The s,NEW,,,0.057
DEP-0007,Finalise Category Page Template depends on upstream delivery Finalise ,NEW,,,0.086
DEP-0008,Finalise Product Page Template depends on upstream delivery Finalise P,NEW,,,0.079
DEP-0009,Design Utility Template: All Calculators depends on upstream delivery ,NEW,,,0.062
DEP-0010,Design Utility Template: All Calculators requires external input or ap,NEW,,,0.077
DEP-0011,Design Utility Template: Calculators Page depends on upstream delivery,NEW,,,0.056
DEP-0012,Design Utility Template: Calculators Page requires external input or a,NEW,,,0.07
DEP-0013,Design Tenant Template depends on upstream delivery Design Tenant Temp,NEW,,,0.061
DEP-0014,Design Tenant Template requires external input or approval The source ,NEW,,,0.054
DEP-0015,Design Utility Template: Careers depends on upstream delivery Design U,NEW,,,0.061
DEP-0016,Design Utility Template: Careers requires external input or approval T,NEW,,,0.075
DEP-0017,Design navigation structure based on the IA depends on upstream delive,NEW,,,0.057
DEP-0018,Design navigation structure based on the IA requires external input or,NEW,,,0.071
DEP-0019,Design navigation solution to allow access to other secure sites has a,NEW,,,0.094
DEP-0020,Finalise generic copy standards depends on upstream delivery Finalise ,NEW,,,0.083
DEP-0021,Finalise SEO + AIEO standards depends on upstream delivery Finalise SE,NEW,,,0.077
DEP-0022,Align DS to iterim Brand CI depends on upstream delivery Align DS to i,NEW,,,0.08
DEP-0023,Design OM Bank Tenant site (structure) depends on upstream delivery De,NEW,,,0.077
DEP-0024,Design Rewards Tenant Site depends on upstream delivery Design Rewards,NEW,,,0.067
DEP-0025,Design iWyze Tenant Product Page Template depends on upstream delivery,NEW,,,0.071
DEP-0026,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.061
