dataset_id,dataset_text,verdict,live_externalId,live_label,score
PRG-0001,Design navigation structure based on the IA Design navigation structur,NEW,,,0.058
PRG-0002,Complete footer navigation structure based on the IA Complete footer n,NEW,,,0.043
PRG-0003,Design Landing Page Template Design Landing Page Template for Public W,NEW,,,0.05
PRG-0004,Design Section Page Template Design Section Page Template for Public W,NEW,,,0.05
PRG-0005,Finalise Category Page Template Finalise Category Page Template for Pu,NEW,,,0.049
PRG-0006,Finalise Product Page Template Finalise Product Page Template for Publ,NEW,,,0.044
PRG-0007,Design Utility Template: Contact Us Design Utility Template: Contact U,NEW,,,0.062
PRG-0008,Design Utility Template: All Calculators Design Utility Template: All ,NEW,,,0.047
PRG-0009,Design Utility Template: Calculators Page Design Utility Template: Cal,NEW,,,0.045
PRG-0010,Design Tenant Template Design Tenant Template for Public Web / OMCOZA ,NEW,,,0.059
PRG-0011,Design Utility Templates: About Us Design Utility Templates: About Us ,NEW,,,0.087
PRG-0012,Design Utility Template: Careers Design Utility Template: Careers for ,NEW,,,0.059
PRG-0013,Design navigation structure based on the IA Design navigation structur,NEW,,,0.075
PRG-0014,Design navigation solution to allow access to other secure sites Desig,NEW,,,0.088
PRG-0015,Finalise generic copy standards Finalise generic copy standards for TB,NEW,,,0.053
PRG-0016,Finalise SEO + AIEO standards Finalise SEO + AIEO standards for TBC / ,NEW,,,0.026
PRG-0017,Align DS to iterim Brand CI Align DS to iterim Brand CI for TBC / Old ,NEW,,,0.051
PRG-0018,Design OM Bank Tenant site (structure) Design OM Bank Tenant site (str,NEW,,,0.043
PRG-0019,Design Rewards Tenant Site Design Rewards Tenant Site for Public Web /,NEW,,,0.051
PRG-0020,Design iWyze Tenant Product Page Template Design iWyze Tenant Product ,NEW,,,0.069
PRG-0021,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.026
PRG-0022,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.06
PRG-0023,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.058
PRG-0024,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.086
PRG-0025,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.057
PRG-0026,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.057
PRG-0027,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.057
PRG-0028,Kick-of recruitment process for additional capacity; Vendor briefing; ,NEW,,,0.091
PRG-0029,Audience landing with enhanced copy Audience landing with enhanced cop,NEW,,,0.088
PRG-0030,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.059
PRG-0031,L3+ IA finalisation; Section landing with enhanced copy; Product landi,NEW,,,0.075
PRG-0032,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.059
PRG-0033,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.059
PRG-0034,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.059
PRG-0035,Mapping of new IA and Footer to sxisting site structure Mapping of new,NEW,,,0.056
PRG-0036,Mapping of new IA and Footer to sxisting site structure Mapping of new,NEW,,,0.054
PRG-0037,Mapping of new IA and Footer to sxisting site structure Mapping of new,NEW,,,0.053
PRG-0038,Audience landing with enhanced copy Audience landing with enhanced cop,NEW,,,0.059
PRG-0039,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0040,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0041,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0042,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0043,Audience landing with enhanced copy Audience landing with enhanced cop,NEW,,,0.059
PRG-0044,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0045,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0046,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0047,Audience landing with enhanced copy Audience landing with enhanced cop,NEW,,,0.059
PRG-0048,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0049,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0050,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0051,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0052,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.039
PRG-0053,Public > Secure | Secure > Public Transition.; Access to other secure ,NEW,,,0.058
PRG-0054,Socilaisation of defined IA and Page templates for handover. Socilaisa,NEW,,,0.083
PRG-0055,Socilaisation of defined IA and Page templates for handover. Socilaisa,NEW,,,0.083
PRG-0056,Copy enhancement + link mapping dependent on design activities Copy en,NEW,,,0.071
PRG-0057,Copy enhancement + link mapping dependent on design activities Copy en,NEW,,,0.071
PRG-0058,Copy enhancement + link mapping dependent on design activities Copy en,NEW,,,0.067
PRG-0059,Copy enhancement + link mapping dependent on design activities Copy en,NEW,,,0.069
PRG-0060,Portfolio View Portfolio View for Secure Web / Shared / Platform / Das,NEW,,,0.052
PRG-0061,Standards on how to creates views on dashboard Standards on how to cre,NEW,,,0.056
PRG-0062,Content Updates Content Updates for Secure Web / Shared / Platform / S,NEW,,,0.107
PRG-0063,Journeys Optimization Journeys Optimization for Secure Web / Shared / ,NEW,,,0.1
PRG-0064,Funeral and Death Claims Funeral and Death Claims for Public Web / OMC,NEW,,,0.095
PRG-0065,Transaction Tracking Transaction Tracking for Secure Web / Shared / Pl,NEW,,,0.091
PRG-0066,Lump Sum Injections Lump Sum Injections for Secure Web / Shared / Plat,NEW,,,0.083
PRG-0067,Change Personal Details Change Personal Details for Secure Web / Share,NEW,,,0.087
PRG-0068,Manage Contributions Manage Contributions for Secure Web / Shared / Pl,NEW,,,0.087
PRG-0069,Switch Funds Switch Funds for Secure Web / Shared / Platform / Servici,NEW,,,0.087
PRG-0070,Withdrawals/Disinvestments Withdrawals/Disinvestments for Secure Web /,NEW,,,0.083
PRG-0071,Change Premium Allocation Change Premium Allocation for Secure Web / S,NEW,,,0.083
PRG-0072,Easy Plus Sales Jorurney on Public Web Easy Plus Sales Jorurney on Pub,NEW,,,0.062
PRG-0073,2 Pot 2 Pot for Public Web / OMCOZA / Personal / L&S. Planned delivery,NEW,,,0.105
PRG-0074,Find Advisor Find Advisor for Public Web / OMCOZA / Personal / L&S. Pl,NEW,,,0.062
PRG-0075,Debt Calculator Debt Calculator for Public Web / OMCOZA / Personal / L,NEW,,,0.1
PRG-0076,Personal Calculator Personal Calculator for Public Web / OMCOZA / Pers,NEW,,,0.125
PRG-0077,Budget Calculator Budget Calculator for Public Web / OMCOZA / Personal,NEW,,,0.118
PRG-0078,Income Tax Calculator Income Tax Calculator for Public Web / OMCOZA / ,NEW,,,0.1
PRG-0079,Retirement Calculator Retirement Calculator for Public Web / OMCOZA / ,NEW,,,0.105
PRG-0080,2 Pot Calculator 2 Pot Calculator for Public Web / OMCOZA / Personal /,NEW,,,0.105
PRG-0081,Contact Us Contact Us for Public Web / OMCOZA / Personal / L&S. Planne,NEW,,,0.125
PRG-0082,Design and Develop CI Updates onto OMDSv2 Design and Develop CI Update,NEW,,,0.08
PRG-0083,Design and Develop Top Navigation Component Updates Design and Develop,NEW,,,0.059
PRG-0084,Design and Develop Top Navigation Component Updates Design and Develop,NEW,,,0.12
PRG-0085,Design and Develop Footer Component Updates Design and Develop Footer ,NEW,,,0.08
PRG-0086,Design and Develop Card Component Updates Design and Develop Card Comp,NEW,,,0.08
PRG-0087,Design and Develop Category Page Template Design and Develop Category ,NEW,,,0.08
PRG-0088,Design and Develop Product Detail Page Template Design and Develop Pro,NEW,,,0.077
PRG-0089,Design and Develop Article Page Template Design and Develop Article Pa,NEW,,,0.083
PRG-0090,Design and Develop Hero Banner Component Updates Design and Develop He,NEW,,,0.077
PRG-0091,Design and Develop Landing page template Design and Develop Landing pa,NEW,,,0.071
PRG-0092,Design and Develop Section page template Design and Develop Section pa,NEW,,,0.071
PRG-0093,Design and Develop Utility Template: Contact Us Design and Develop Uti,NEW,,,0.071
PRG-0094,Design and Develop Utility Template: All Calculators Design and Develo,NEW,,,0.071
PRG-0095,Design and Develop Utility Template: Calculators Page Design and Devel,NEW,,,0.069
PRG-0096,Design and Develop Utility Templates: About Us Design and Develop Util,NEW,,,0.071
PRG-0097,Design and Develop Utility Template: Careers Design and Develop Utilit,NEW,,,0.071
PRG-0098,Add copy standards to OMDS Add copy standards to OMDS for Public Web /,NEW,,,0.071
PRG-0099,Add copy standards to OMDS Add copy standards to OMDS for Secure Web /,NEW,,,0.111
PRG-0100,Design and Develop tenant template Design and Develop tenant template ,NEW,,,0.083
PRG-0101,Design and Develop tenant template Design and Develop tenant template ,NEW,,,0.13
PRG-0102,Implement OMCOM into production Implement OMCOM into production for Pu,NEW,,,0.069
PRG-0103,Dev: Co-locating Content & Analytics Tagging Dev: Co-locating Content ,NEW,,,0.051
PRG-0104,Dev: Applying Analytics Tracking to V2 Components Dev: Applying Analyt,NEW,,,0.05
PRG-0105,Dev: DevOps Quality Gate Pipeline Dev: DevOps Quality Gate Pipeline fo,NEW,,,0.083
PRG-0106,Dev: DevOps Quality Gate Pipeline Dev: DevOps Quality Gate Pipeline fo,NEW,,,0.083
PRG-0107,QE: Automated Testing Framework QE: Automated Testing Framework for Pu,NEW,,,0.087
PRG-0108,Dev/QE: DevOps - Integrate Automated Testing Dev/QE: DevOps - Integrat,NEW,,,0.08
PRG-0109,QE: Automated Testing Framework QE: Automated Testing Framework for Se,NEW,,,0.091
PRG-0110,Dev/QE: DevOps - Integrate Automated Testing Dev/QE: DevOps - Integrat,NEW,,,0.083
PRG-0111,Dev: Observability Dashboard Templates for Sites Dev: Observability Da,NEW,,,0.08
PRG-0112,Dev: Observability Dashboard Templates for Sites Dev: Observability Da,NEW,,,0.086
PRG-0113,Dev: Styling Backwards Compatibility - V2 ModularPage Dev: Styling Bac,NEW,,,0.071
PRG-0114,Dev: Styling Backwards Compatibility - V2 ArticleModularPage Dev: Styl,NEW,,,0.071
PRG-0115,Dev: Export Analytics Data into Tableau Dev: Export Analytics Data int,NEW,,,0.059
PRG-0116,Dev: Export Analytics Data into Tableau Dev: Export Analytics Data int,NEW,,,0.057
PRG-0117,Dev: Configuring Web Transformation Page Template in ContentStack Dev:,NEW,,,0.057
PRG-0118,Dev: Update Page Rendering Pipeline to support WT pages Dev: Update Pa,NEW,,,0.053
PRG-0119,Dev: Navigation components updates public Web Dev: Navigation componen,NEW,,,0.057
PRG-0120,QE : Automated Testing Framework (LS) QE : Automated Testing Framework,NEW,,,0.095
PRG-0121,Dev :Observability Dashboards for various sites (LS) Dev :Observabilit,NEW,,,0.091
PRG-0122,Dev : Modular Template (LS) Dev : Modular Template (LS) for Public Web,NEW,,,0.061
