dataset_id,dataset_text,verdict,live_externalId,live_label,score
RSK-0001,"Design navigation structure based on the IA is at risk due to paused, ",NEW,,,0.065
RSK-0002,Design Landing Page Template has approval-gate risk The source data sh,NEW,,,0.071
RSK-0003,Design Section Page Template has approval-gate risk The source data sh,NEW,,,0.071
RSK-0004,Design Utility Template: All Calculators has low-confidence delivery c,NEW,,,0.069
RSK-0005,Design Utility Template: Calculators Page has low-confidence delivery ,NEW,,,0.069
RSK-0006,Design navigation structure based on the IA has low-confidence deliver,NEW,,,0.111
RSK-0007,Design navigation solution to allow access to other secure sites has a,NEW,,,0.107
RSK-0008,Design iWyze Tenant Product Page Template may not start or complete on,NEW,,,0.062
RSK-0009,Design iWyze Tenant Product Page Template has low-confidence delivery ,NEW,,,0.069
RSK-0010,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.071
RSK-0011,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.068
RSK-0012,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.071
RSK-0013,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.075
RSK-0014,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.069
RSK-0015,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.065
RSK-0016,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.095
RSK-0017,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.138
RSK-0018,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.07
RSK-0019,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.1
RSK-0020,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.07
RSK-0021,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.1
RSK-0022,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.07
RSK-0023,Information Architecture Stakeholder Socialisation & Sign Off (L1 - L3,NEW,,,0.1
RSK-0024,Kick-of recruitment process for additional capacity; Vendor briefing; ,NEW,,,0.062
RSK-0025,Kick-of recruitment process for additional capacity; Vendor briefing; ,NEW,,,0.075
RSK-0026,Kick-of recruitment process for additional capacity; Vendor briefing; ,NEW,,,0.077
RSK-0027,Audience landing with enhanced copy has approval-gate risk The source ,NEW,,,0.098
RSK-0028,Audience landing with enhanced copy has accountability risk Audience l,NEW,,,0.095
RSK-0029,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.07
RSK-0030,L3+ IA finalisation; URL mapping (Current vs. New URL mapping (Current,NEW,,,0.067
RSK-0031,L3+ IA finalisation; Section landing with enhanced copy; Product landi,NEW,,,0.089
RSK-0032,L3+ IA finalisation; Section landing with enhanced copy; Product landi,NEW,,,0.08
